"","model","method","swfsc.id","age.pred","age.best","resid","dev","sq.err","best.age.bin","pred.age.bin","age.pred.ran.mode","lower","upper","hdi.range","crc.id","biopsy.id","date.biopsy","sex","age.confidence","age.min","age.max","age.class","pair.id","confidence.wt","sex.num","sn.location","sn.scale","sn.shape","age.range","age.var","dens.unif","wtd.unif","sn.age.offset","Collection_Method"
"51",21,"svm","z0098745",8.20724035137964,7,1.20724035137964,1.20724035137964,1.45742926599923,0,0,10.0577983716078,3.74805750806761,16.2980150249363,12.5499575168686,"HIPc384","RWB2010AUG14.06",2010-08-13 21:00:00,"Male",4,5,9,"sub.adult",NA,0.75,2,6.88144881434084,1.02725135865404,0.145771103294223,4,1.04126736410313,0.25,0.0625,6.88211204618039,"BIOPSY (PROJECTILE)"
"52",21,"svm","z0098746",30.0710180361972,32,-1.9289819638028,1.9289819638028,3.7209714166765,25,25,27.6661818596631,20.6712560567482,35.5604356806391,14.889179623891,"HIPc207","RWB2010AUG14.07",2010-08-13 21:00:00,"Male",4,29,37,"adult.pm",NA,0.75,2,30.4449342186957,2.92453749001362,2.03083716802545,8,4.17053782826951,0.125,0.03125,30.4449342186994,"BIOPSY (PROJECTILE)"
"53",21,"svm","z0102483",5.30067237605367,5,0.30067237605367,0.30067237605367,0.0904038777217598,0,0,4.59958005145075,0,9.43273860418194,9.43273860418194,"HIPc301","RWB2010OCT15.01",2010-10-14 21:00:00,"Male",5,3,7,"juvenile",11,1,2,4.89396854897238,1.0258437637554,0.130514121710472,4,1.04113467123483,0.25,0,4.89431692458606,"BIOPSY (PROJECTILE)"
"54",21,"svm","z0102484",11.257436610292,13,-1.74256338970799,1.74256338970799,3.03652716715058,10,10,12.2102047916781,7.09158503413918,17.023596277346,9.93201124320679,"HIPc168","RWB2010OCT15.02",2010-10-14 21:00:00,"Female",3,10,20,"adult.f.sm",8,0.55,1,11.1250275525825,3.95955049482185,3.05942527660521,10,6.66049426177703,0.1,0.045,11.1234865133747,"BIOPSY (PROJECTILE)"
"55",21,"svm","z0102485",27.0881940095002,21,6.08819400950024,6.08819400950024,37.0661062973146,10,25,26.9243978016096,21.8521793140931,31.6840782191365,9.83189890504342,"HIPc200","RWB2010OCT15.03",2010-10-14 21:00:00,"Male",2,16,65,"adult.f.sm",NA,0.2,2,16.2170587682525,21.7644678833404,11.0205803309458,49,174.592998862159,0.0204081632653061,0.0163265306122449,16.217014083422,"BIOPSY (PROJECTILE)"
"56",21,"svm","z0102500",7.26627271350568,12,-4.73372728649432,4.73372728649432,22.4081740229009,10,0,9.08728920804156,5.15022626960919,14.4262261164005,9.27599984679135,"HIPc205","RWB2010OCT22.01",2010-10-21 21:00:00,"Male",4,10,14,"adult.f.sm",NA,0.75,2,11.7723020797463,1.04501460942651,0.280862995841487,4,1.04122330733397,0.25,0.0625,11.7769020667349,"BIOPSY (PROJECTILE)"
"57",21,"svm","z0123188",26.3152664563491,24,2.31526645634908,2.31526645634908,5.36045876389522,10,25,28.975783434847,23.150225499793,35.1808262824719,12.0306007826789,"HIPc199","KW2010019",2010-11-26 22:00:00,"Female",5,18,34,"adult.f.sm",NA,1,1,20.8891125276466,5.8494122408458,2.03089416924661,16,16.6838831235669,0.0625,0,20.8897040674658,"STRANDING"
"58",21,"svm","z0132631",16.6579027261849,15,1.65790272618493,1.65790272618493,2.74864144949143,10,10,17.4701992134412,12.7668153333707,22.6809512263062,9.91413589293546,"HIPc382","RWB2011Aug20.01",2011-08-19 21:00:00,"Female",3,11,35,"adult.f.sm",NA,0.55,1,11.7189509217158,10.3868210703741,6.63350819864525,24,40.7298171718429,0.0416666666666667,0.01875,11.7189509217104,"BIOPSY (PROJECTILE)"
"59",21,"svm","z0132632",30.5754073112068,34,-3.42459268879318,3.42459268879318,11.7278350841357,25,25,29.4382178815264,24.1817380660665,37.2348774061711,13.0531393401046,"HIPc230","RWB2011Aug20.02",2011-08-19 21:00:00,"Female",4,30,49,"adult.f.sm",NA,0.75,1,30.996781988954,8.0321210415802,5.02842222861082,19,25.0060074722701,0.0526315789473684,0.0131578947368421,30.996781988953,"BIOPSY (PROJECTILE)"
"60",21,"svm","z0132634",16.1916229243084,12,4.19162292430845,4.19162292430845,17.5697027395881,10,10,17.5296265991383,13.0541236026014,21.4394451635324,8.38532156093101,"HIPc233","RWB2011AUG20.04",2011-08-19 21:00:00,"Female",4,10,14,"adult.f.sm",NA,0.75,1,11.7723020797463,1.04501460942651,0.280862995841487,4,1.04122330733397,0.25,0.0625,11.7769020667349,"BIOPSY (PROJECTILE)"
